Disease,Sex,Age_Group,Count
Filariasis (B74),Female,(<1),8
"Helminthiasis (B76,B77,B79,B80)",Male,(<1),2
"Helminthiasis (B76,B77,B79,B80)",Female,(<1),0
Scabies (B86),Male,(<1),120
Scabies (B86),Female,(<1),133
Sequelae of infectious and parasitic diseases (B90-B94),Male,(<1),1
Sequelae of infectious and parasitic diseases (B90-B94),Female,(<1),1
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Male,(<1),94
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Female,(<1),81
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Male,(<1),3
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Female,(<1),0
Malaignant neoplasm of oesophagus (C15),Male,(<1),0
Malaignant neoplasm of oesophagus (C15),Female,(<1),0
Malignant neoplasm of stomach (C16),Male,(<1),0
Malignant neoplasm of stomach (C16),Female,(<1),0
Malignant neoplasm of colon (C18),Male,(<1),1
Malignant neoplasm of colon (C18),Female,(<1),1
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Male,(<1),1
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Female,(<1),0
Malignant neoplasm of liver and intrahepatic bile duct (C22),Male,(<1),3
Malignant neoplasm of liver and intrahepatic bile duct (C22),Female,(<1),9
Malignant neoplasm of pancreas (C25),Male,(<1),0
Malignant neoplasm of pancreas (C25),Female,(<1),0
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Male,(<1),0
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Female,(<1),0
Malignant neoplasm of larnyx (C32),Male,(<1),0
Malignant neoplasm of larnyx (C32),Female,(<1),0
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Male,(<1),1
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Female,(<1),2
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Male,(<1),0
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Female,(<1),2
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Male,(<1),0
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Female,(<1),2
"Melanoma and other malignant neoplasm of skin (C43,C44)",Male,(<1),0
"Melanoma and other malignant neoplasm of skin (C43,C44)",Female,(<1),1
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Male,(<1),4
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Female,(<1),2
Malignant neoplasm of breast (C50),Male,(<1),0
Malignant neoplasm of breast (C50),Female,(<1),0
Malignant neoplasm of cervix uteri (C53),Male,(<1),0
Malignant neoplasm of cervix uteri (C53),Female,(<1),0
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Male,(<1),0
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Female,(<1),0
Malignant neoplasm of placenta (C58),Male,(<1),0
Malignant neoplasm of placenta (C58),Female,(<1),0
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Male,(<1),0
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Female,(<1),3
Malignant neoplasm of prostate (C61),Male,(<1),0
Malignant neoplasm of prostate (C61),Female,(<1),0
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Male,(<1),10
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Female,(<1),0
Malignant neoplasm of bladder (C67),Male,(<1),0
Malignant neoplasm of bladder (C67),Female,(<1),0
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Male,(<1),8
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Female,(<1),11
Malignant neoplasm of eye and adnexa (C69),Male,(<1),41
Malignant neoplasm of eye and adnexa (C69),Female,(<1),14
Malignant neoplasm of brain(C71),Male,(<1),6
Malignant neoplasm of brain(C71),Female,(<1),2
"Malignant neoplasm of other parts of the central nervous system (C70,C72)",Male,(<1),0
"Malignant neoplasm of other parts of the central nervous system (C70,C72)",Female,(<1),0
Malignant neoplasm of thyroid gland (C73),Male,(<1),0
Malignant neoplasm of thyroid gland (C73),Female,(<1),0
"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",Male,(<1),23
"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",Female,(<1),16
Hodgkin's disease (C81),Male,(<1),1
Hodgkin's disease (C81),Female,(<1),1
Leukaemia (C91-C95),Male,(<1),24
Leukaemia (C91-C95),Female,(<1),8
"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",Male,(<1),3
"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",Female,(<1),13
In situ neoplasm (D00-D09),Male,(<1),1
In situ neoplasm (D00-D09),Female,(<1),0
Benign neoplasm (D10-D36),Male,(<1),61
Benign neoplasm (D10-D36),Female,(<1),76
Neoplasm of uncertain or unknown behaviour (D37-D48),Male,(<1),7
Neoplasm of uncertain or unknown behaviour (D37-D48),Female,(<1),9
Iron deficiency anaemias (D50),Male,(<1),18
Iron deficiency anaemias (D50),Female,(<1),10
Thalasemia (D56),Male,(<1),50
Thalasemia (D56),Female,(<1),62
"Other anaemias (D51-D55,D57-D64)",Male,(<1),126
"Other anaemias (D51-D55,D57-D64)",Female,(<1),71
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Male,(<1),122
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Female,(<1),101
Iodine-deficiency related thyroid disorders (E00-E02),Male,(<1),0
Iodine-deficiency related thyroid disorders (E00-E02),Female,(<1),4
Thyrotoxicosis (E05),Male,(<1),1
Thyrotoxicosis (E05),Female,(<1),1
"Other disorders of thyroid (E03,E04,E06,E07)",Male,(<1),27
"Other disorders of thyroid (E03,E04,E06,E07)",Female,(<1),26
Insulin-dependent diabetes mellitus(E10),Male,(<1),3
Insulin-dependent diabetes mellitus(E10),Female,(<1),5
Non-insulin-dependent diabetes mellitus(E11),Male,(<1),2
Non-insulin-dependent diabetes mellitus(E11),Female,(<1),5
Malnutrition-related diabetes mellitus(E12),Male,(<1),1
Malnutrition-related diabetes mellitus(E12),Female,(<1),0
Other specified diabetes mellitus(E13),Male,(<1),1
Other specified diabetes mellitus(E13),Female,(<1),0
Unspecified diabetes mellitus(E14),Male,(<1),3
Unspecified diabetes mellitus(E14),Female,(<1),6
Kwashiorkor(E40),Male,(<1),4
Kwashiorkor(E40),Female,(<1),0
Nutritional marasmus(E41),Male,(<1),0
Nutritional marasmus(E41),Female,(<1),0
Marasmic kwashiorkor(E42),Male,(<1),0
Marasmic kwashiorkor(E42),Female,(<1),0
Unspecified severe protein-energy malnutrition(E43),Male,(<1),3
Unspecified severe protein-energy malnutrition(E43),Female,(<1),1
Protin-energy malnutrition of moderate and mild degree(E44),Male,(<1),1
Protin-energy malnutrition of moderate and mild degree(E44),Female,(<1),1
Retarded development following protein-energy malnutrition(E45),Male,(<1),1
Retarded development following protein-energy malnutrition(E45),Female,(<1),0
Unspecified protin-energy malnutrition(E46),Male,(<1),13
Unspecified protin-energy malnutrition(E46),Female,(<1),2
Vitamin deficiencies (E50-E56),Male,(<1),5
Vitamin deficiencies (E50-E56),Female,(<1),7
"Other endocrine, nutritional and metabolic disorders (E15-E34,E58-E89)",Male,(<1),180
"Other endocrine, nutritional and metabolic disorders (E15-E34,E58-E89)",Female,(<1),152
"Dementia (F01,F03)",Male,(<1),0
"Dementia (F01,F03)",Female,(<1),0
Mental and behavioural disorders due to use of alcohol (F10),Male,(<1),0
Mental and behavioural disorders due to use of alcohol (F10),Female,(<1),0
Mental and behavioural disorders due to other psychoactive substance use (F11-F19),Male,(<1),0
Mental and behavioural disorders due to other psychoactive substance use (F11-F19),Female,(<1),0
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",Male,(<1),0
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",Female,(<1),0
Mood (affective) disorders (F30-F39),Male,(<1),0
Mood (affective) disorders (F30-F39),Female,(<1),0
"Neurotic, stress-related somatoform disorders (F40-F48)",Male,(<1),0
"Neurotic, stress-related somatoform disorders (F40-F48)",Female,(<1),0
Mental retardation (F70-F79),Male,(<1),1
Mental retardation (F70-F79),Female,(<1),1
Behavioural and emotional disorders with onset usually occuring in childhood and adolescence (F90-F98),Male,(<1),0
Behavioural and emotional disorders with onset usually occuring in childhood and adolescence (F90-F98),Female,(<1),0
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Male,(<1),0
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Female,(<1),0
"Bacterial meningitis not elsewhere classified (G00,G03)",Male,(<1),584
"Bacterial meningitis not elsewhere classified (G00,G03)",Female,(<1),435
"Encephalitis,myelitis and encephalomyelitis (G04)",Male,(<1),18
"Encephalitis,myelitis and encephalomyelitis (G04)",Female,(<1),24
Intracranial and intraspinal abscess and granuloma(G06),Male,(<1),9
Intracranial and intraspinal abscess and granuloma(G06),Female,(<1),5
Parkinson's disease (G20),Male,(<1),0
Parkinson's disease (G20),Female,(<1),0
Multiple sclerosis (G35),Male,(<1),0
Multiple sclerosis (G35),Female,(<1),0
Epilepsy (G40-G41),Male,(<1),129
Epilepsy (G40-G41),Female,(<1),121
"Migraine and headache syndrome (G43,G44)",Male,(<1),0
"Migraine and headache syndrome (G43,G44)",Female,(<1),0
Transient cerebral ischaemic attacks and related syndromes (G45),Male,(<1),1
Transient cerebral ischaemic attacks and related syndromes (G45),Female,(<1),1
"Nerve, nerve root and plaxus disorders (G50-G58)",Male,(<1),12
"Nerve, nerve root and plaxus disorders (G50-G58)",Female,(<1),15
Cerebral palsy and other paralytic syndromes (G80-G83),Male,(<1),30
Cerebral palsy and other paralytic syndromes (G80-G83),Female,(<1),23
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Male,(<1),109
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Female,(<1),106
Keratitis and other disorders of sclera and cornea      (H15-H18),Male,(<1),45
Keratitis and other disorders of sclera and cornea      (H15-H18),Female,(<1),35
Cataract and other disorders of lens (H25-H27),Male,(<1),33
Cataract and other disorders of lens (H25-H27),Female,(<1),23
Retinal detachment and breaks (H33),Male,(<1),5
Retinal detachment and breaks (H33),Female,(<1),3
Glaucoma (H40),Male,(<1),1
Glaucoma (H40),Female,(<1),4
Strabismus (H49-H50),Male,(<1),4
Strabismus (H49-H50),Female,(<1),10
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Male,(<1),536
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Female,(<1),557
Otitis media and other disorders of middle ear and mastoid (H65-H74),Male,(<1),648
Otitis media and other disorders of middle ear and mastoid (H65-H74),Female,(<1),584
"Hearing loss (H90,H91)",Male,(<1),19
"Hearing loss (H90,H91)",Female,(<1),9
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Male,(<1),317
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Female,(<1),288
Acute rheumatic fever (I00-I02),Male,(<1),0
Acute rheumatic fever (I00-I02),Female,(<1),0
Chronic rheumatic heart disease (I05-I09),Male,(<1),0
Chronic rheumatic heart disease (I05-I09),Female,(<1),0
Essential hypertension (I10),Male,(<1),0
Essential hypertension (I10),Female,(<1),0
Hypertensive heart disease (I11),Male,(<1),0
Hypertensive heart disease (I11),Female,(<1),0
Other hypertensive diseases (I12-I15),Male,(<1),0
Other hypertensive diseases (I12-I15),Female,(<1),0
"Acute myocardial infarction (I21,I22)",Male,(<1),0
"Acute myocardial infarction (I21,I22)",Female,(<1),0
"Other ischaemic heart disease  (I20,I23-I25)",Male,(<1),0
"Other ischaemic heart disease  (I20,I23-I25)",Female,(<1),0
Pulmonary embolism (I26),Male,(<1),0
Pulmonary embolism (I26),Female,(<1),0
Cor pulmonale (I27.9),Male,(<1),1
Cor pulmonale (I27.9),Female,(<1),0
Heart failure (I50),Male,(<1),8
Heart failure (I50),Female,(<1),11
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Male,(<1),44
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Female,(<1),46
Cerebroavascular disease (I60-I69),Male,(<1),4
Cerebroavascular disease (I60-I69),Female,(<1),5
Atherosclerosis (I70),Male,(<1),0
Atherosclerosis (I70),Female,(<1),0
Arterial embolism and thrombosis (I74),Male,(<1),0
Arterial embolism and thrombosis (I74),Female,(<1),1
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Male,(<1),1
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Female,(<1),0
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Male,(<1),2
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Female,(<1),0
Vericose veins of lower extremities (I83),Male,(<1),2
Vericose veins of lower extremities (I83),Female,(<1),1
Haemorrhoids (I84),Male,(<1),4
Haemorrhoids (I84),Female,(<1),0
Other diseases of the circulatory system (I85-I99),Male,(<1),23
Other diseases of the circulatory system (I85-I99),Female,(<1),17
Acute sinusitis and acute tonsillitis (J01-J03),Male,(<1),310
Acute sinusitis and acute tonsillitis (J01-J03),Female,(<1),180
"Other acute upper respiratory infections (J00,J02,J04-J06)",Male,(<1),6057
"Other acute upper respiratory infections (J00,J02,J04-J06)",Female,(<1),5123
Influenza (J10-J11),Male,(<1),33
Influenza (J10-J11),Female,(<1),46
Pneumonia (J12-J18),Male,(<1),1603
Pneumonia (J12-J18),Female,(<1),1144
Acute bronchitis (J20),Male,(<1),1296
Acute bronchitis (J20),Female,(<1),1175
Acute bronchiolitis (J21),Male,(<1),8435
Acute bronchiolitis (J21),Female,(<1),6079
Other diseases of the upper respiratory tract (J30-J39),Male,(<1),1137
Other diseases of the upper respiratory tract (J30-J39),Female,(<1),926
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Male,(<1),600
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Female,(<1),439
Asthma (J45-J46),Male,(<1),591
Asthma (J45-J46),Female,(<1),370
Bronchiectasis (J47),Male,(<1),0
Bronchiectasis (J47),Female,(<1),0
"Other diseases of the respiratory system(J22,J60-J98)",Male,(<1),10691
"Other diseases of the respiratory system(J22,J60-J98)",Female,(<1),8030
Diseases of teeth and supporting structure (K00-K08),Male,(<1),17
Diseases of teeth and supporting structure (K00-K08),Female,(<1),26
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Male,(<1),65
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Female,(<1),61
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Male,(<1),1
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Female,(<1),3
Gastritis and duodenitis (K29),Male,(<1),55
Gastritis and duodenitis (K29),Female,(<1),57
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Male,(<1),70
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Female,(<1),59
Diseases of appendix (K35-K38),Male,(<1),8
Diseases of appendix (K35-K38),Female,(<1),5
Hernia (K40-K46),Male,(<1),329
Hernia (K40-K46),Female,(<1),169
Noninfective enteritis and colitis (K50-K52),Male,(<1),152
Noninfective enteritis and colitis (K50-K52),Female,(<1),123
Other diseases of intestines and peritoneum (K55-K66),Male,(<1),436
Other diseases of intestines and peritoneum (K55-K66),Female,(<1),335
Alcoholic liver disease (K70),Male,(<1),0
Alcoholic liver disease (K70),Female,(<1),0
Other diseases of liver (K71-K76),Male,(<1),33
Other diseases of liver (K71-K76),Female,(<1),17
"Cholelithiasis and cholecystitis (K80,K81)",Male,(<1),6
"Cholelithiasis and cholecystitis (K80,K81)",Female,(<1),9
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Male,(<1),2
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Female,(<1),7
"Other diseases of the digestive system (K82-K83,K90-K92)",Male,(<1),160
"Other diseases of the digestive system (K82-K83,K90-K92)",Female,(<1),186
Infections of skin and subcutaneous tissue (L00-L08),Male,(<1),1334
Infections of skin and subcutaneous tissue (L00-L08),Female,(<1),1469
Other diseases of skin and subcutaneous tissue (L10-L98),Male,(<1),769
Other diseases of skin and subcutaneous tissue (L10-L98),Female,(<1),686
"Disorders of joints (M00-M02,M15-M25)",Male,(<1),35
"Disorders of joints (M00-M02,M15-M25)",Female,(<1),29
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Male,(<1),5
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Female,(<1),5
Systemic connective tissue disorders (M30-M35),Male,(<1),11
Systemic connective tissue disorders (M30-M35),Female,(<1),7
Soft tissue disorders (M60-M79),Male,(<1),34
Soft tissue disorders (M60-M79),Female,(<1),16
Osteomyelitis (M86),Male,(<1),9
Osteomyelitis (M86),Female,(<1),7
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Male,(<1),21
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Female,(<1),22
Glomerular diseases (N00-N07),Male,(<1),13
Glomerular diseases (N00-N07),Female,(<1),7
Infections of the kidney (N10-N12),Male,(<1),33
Infections of the kidney (N10-N12),Female,(<1),23
Renal failure (N17-N19),Male,(<1),4
Renal failure (N17-N19),Female,(<1),5
Urolithiasis (N20-N23),Male,(<1),10
Urolithiasis (N20-N23),Female,(<1),7
Diseases of breast (N60-N64),Male,(<1),52
Diseases of breast (N60-N64),Female,(<1),104
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Male,(<1),2089
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Female,(<1),1545
Hyperplasia of prostate (N40),Male,(<1),7
Hyperplasia of prostate (N40),Female,(<1),0
Hydrocele and spermatocele (N43),Male,(<1),19
Hydrocele and spermatocele (N43),Female,(<1),0
"Other diseases of the male genital organs (N41,N42,N44-N50)",Male,(<1),182
"Other diseases of the male genital organs (N41,N42,N44-N50)",Female,(<1),0
Salpingitis and oophoritis (N70),Male,(<1),0
Salpingitis and oophoritis (N70),Female,(<1),10
Female genital prolapse (N81),Male,(<1),0
Female genital prolapse (N81),Female,(<1),1
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Male,(<1),0
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Female,(<1),81
Abortions (O00-O08),Male,(<1),0
Abortions (O00-O08),Female,(<1),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Male,(<1),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Female,(<1),0
Supervision of high risk pregnancy (Z35),Male,(<1),0
Supervision of high risk pregnancy (Z35),Female,(<1),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Male,(<1),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Female,(<1),0
False Labour (O47),Male,(<1),0
False Labour (O47),Female,(<1),0
Those admitted and discharged before delivery (Distance from hospital etc.),Male,(<1),0
Those admitted and discharged before delivery (Distance from hospital etc.),Female,(<1),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Male,(<1),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Female,(<1),0
Obstructed Labour (O64-O66),Male,(<1),0
Obstructed Labour (O64-O66),Female,(<1),0
Post parturm haemorrhage (O72),Male,(<1),0
Post parturm haemorrhage (O72),Female,(<1),0
Single spontaneous delivery (O80),Male,(<1),0
Single spontaneous delivery (O80),Female,(<1),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Male,(<1),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Female,(<1),0
Complications predominantly related to the puerperium (O85-O92),Male,(<1),0
Complications predominantly related to the puerperium (O85-O92),Female,(<1),0
Other obstetric conditions not elsewhere classified (O95-O99),Male,(<1),0
Other obstetric conditions not elsewhere classified (O95-O99),Female,(<1),0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Male,(<1),333
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Female,(<1),386
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Male,(<1),3338
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Female,(<1),3337
Birth trauma (P10-P15),Male,(<1),39
Birth trauma (P10-P15),Female,(<1),53
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Male,(<1),3416
